,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
162,2020-02-18,3216.56,36.04,8,2,3289.1760000000004,36.95,3581.9237499999995,41.020624999999995
163,2020-02-15,3215.88,35.99,7,2,3580.4625,41.61749999999999,3581.9237499999995,41.020624999999995
164,2020-02-14,3220.62,35.91,7,2,3580.4625,41.61749999999999,3581.9237499999995,41.020624999999995
165,2020-02-13,3175.81,35.89,7,2,3580.4625,41.61749999999999,3581.9237499999995,41.020624999999995
166,2020-12-02,3223.2,36.57,49,12,3630.75,38.50333333333333,4053.986,49.346
167,2020-11-02,3227.24,36.43,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
168,2020-08-02,3200.38,36.25,31,8,4255.2919999999995,51.588,4492.892000000001,58.665
169,2020-07-02,3159.22,35.57,27,7,3772.0099999999998,36.958,4215.01619047619,47.62857142857143
170,2020-06-02,3152.67,36.01,23,6,3476.84,37.169999999999995,3928.87375,41.769999999999996
171,2020-05-02,3204.39,36.24,18,5,3789.736,36.122,3994.99894736842,41.0221052631579
172,2020-04-02,3244.1,36.75,14,4,3330.005,36.44,4054.191578947369,39.52736842105263
173,2020-01-02,3209.04,35.98,1,1,3418.133333333333,35.77333333333333,3421.162857142857,39.43333333333334
174,2020-01-31,3202.92,35.41,5,1,3179.785,36.042500000000004,3421.162857142857,39.43333333333334
175,2020-01-30,3151.82,36.06,5,1,3179.785,36.042500000000004,3421.162857142857,39.43333333333334
176,2020-01-29,3190.83,36.96,5,1,3179.785,36.042500000000004,3421.162857142857,39.43333333333334
177,2020-01-28,3173.57,35.74,5,1,3179.785,36.042500000000004,3421.162857142857,39.43333333333334
178,2020-01-25,3103.42,34.97,4,1,3094.5,35.541999999999994,3421.162857142857,39.43333333333334
179,2020-01-24,3095.33,35.39,4,1,3094.5,35.541999999999994,3421.162857142857,39.43333333333334
180,2020-01-23,3097.53,35.75,4,1,3094.5,35.541999999999994,3421.162857142857,39.43333333333334
181,2020-01-22,3094.9,35.91,4,1,3094.5,35.541999999999994,3421.162857142857,39.43333333333334
182,2020-01-21,3081.32,35.69,4,1,3094.5,35.541999999999994,3421.162857142857,39.43333333333334
183,2020-01-18,3079.29,35.63,3,1,3062.282,35.333999999999996,3421.162857142857,39.43333333333334
184,2020-01-17,3078.52,35.33,3,1,3062.282,35.333999999999996,3421.162857142857,39.43333333333334
185,2020-01-16,3065.17,35.1,3,1,3062.282,35.333999999999996,3421.162857142857,39.43333333333334
186,2020-01-15,3050.51,35.51,3,1,3062.282,35.333999999999996,3421.162857142857,39.43333333333334
187,2020-01-14,3037.92,35.1,3,1,3062.282,35.333999999999996,3421.162857142857,39.43333333333334
188,2020-11-01,3050.6,35.28,44,11,3050.6,35.28,3945.444999999999,45.215
189,2020-10-01,3047.28,36.26,40,10,4134.7975,47.905,4377.283636363637,53.15909090909091
190,2020-01-01,3031.25,35.48,1,1,3418.133333333333,35.77333333333333,3421.162857142857,39.43333333333334
